Alpha,Alpha_Ganite,Loss YCF Ganite,ATE YCF Ganite,ACC YCF Ganite
0.033,5,0.4148401248185136,-2.1517657080638575e-05,0.8451754385964912
0.033,6,0.4015263578596647,-2.7564291452203404e-05,0.8451754385964912
0.033,7,0.3930107747950457,-3.854231278663245e-05,0.8451754385964912
0.033,8,0.38749792758542945,-5.081016255706339e-05,0.8451754385964912
0.033,9,0.4683371348161949,-2.0639654798357276e-05,0.8302631578947368
0.033,10,0.46318548211498284,-1.4469352753454512e-05,0.8302631578947368
0.033,20,0.4586027402960124,-3.697129837471058e-06,0.8302631578947368
0.033,30,0.45425681629484255,1.4285669182337313e-05,0.8302631578947368
0.033,40,0.44365388435961417,0.00012349763438276873,0.8302631578947368
0.033,50,0.4359322684424363,0.0003121314506151496,0.8302631578947368
0.066,-50,0.42936247670216077,0.000534179498095505,0.8302631578947368
0.066,-40,0.4236151137052086,0.0007417480925265285,0.8302631578947368
0.066,-30,0.41862599642399284,0.0009097140464349451,0.8302631578947368
0.066,-20,0.414301321313465,0.0010336650002273906,0.8302631578947368
0.066,-10,0.4105315097044853,0.001118862038581775,0.8302631578947368
0.066,-9,0.40721220554089343,0.0011724538051915145,0.8302631578947368
0.066,-8,0.40425375183877565,0.0012005814646113,0.8302631578947368
0.066,-7,0.5352561492414049,-0.00017371923489112318,0.8385964912280702
0.066,-6,0.5233083093172681,-0.0001828786729207721,0.8385964912280702
0.066,-5,0.5123706293395321,-0.00018952698010182845,0.8385964912280702
0.066,-4,0.5020407055559389,-0.00019325246899221105,0.8385964912280702
0.066,-3,0.4763117228354721,-0.00018041106779592697,0.8385964912280702
0.066,-2,0.45619804821059234,-0.00012353445779877958,0.8385964912280702
0.066,-1,0.4404418767270424,-2.1696035390539326e-05,0.8385964912280702
0.066,0,0.42813175871238934,0.0001123076968205794,0.8385964912280702
0.066,1,0.4185875779340372,0.00025817129592572985,0.8385964912280702
0.066,2,0.41123400177735037,0.0003982670143601319,0.8385964912280702
0.066,3,0.4055479993949924,0.0005229285802931527,0.8385964912280702
0.066,4,0.4010833573424656,0.000630123004487726,0.8385964912280702
0.066,5,0.39749405869188636,0.000722722926329078,0.8385964912280702
