Alpha,Alpha_Ganite,Loss YCF Ganite,ATE YCF Ganite,ACC YCF Ganite
0.1,-9,0.790629888312893,-0.0012634270509352952,0.3781376518218624
0.1,-8,0.7647895218257357,-0.001686306483462796,0.3781376518218624
0.1,-7,0.7420714505323687,-0.002171912576649171,0.3781376518218624
0.1,-6,0.6584697418900141,-0.005112230778110294,0.4647773279352227
0.1,-5,0.5519504856136696,-0.010257432203712225,0.7700404858299595
0.1,-4,0.4865956774910641,-0.01560877000680777,0.7951417004048583
0.1,-3,0.4333878048337377,-0.02030363238328664,0.8291497975708502
0.1,-2,0.39860412562550396,-0.020989698345908248,0.8234817813765182
0.1,-1,0.4123743597478937,-0.017556199146663398,0.8129554655870446
0.1,0,0.38146408209609406,-0.02000677434561987,0.8275303643724696
0.1,1,0.35263668525147224,-0.022776908810181795,0.8412955465587044
0.1,2,0.3257959068086127,-0.025368056392893412,0.8453441295546559
0.1,3,0.8036792598822515,-0.00040870283598182233,0.38866396761133604
0.1,4,0.7744865896437235,-0.0006773082050638424,0.38866396761133604
0.1,5,0.7503598373983621,-0.0009705850329700949,0.38866396761133604
0.1,6,0.7290042392761744,-0.0013254631521260052,0.38866396761133604
0.1,7,0.6408176699363406,-0.0035272345487684653,0.5838056680161944
0.1,8,0.5373802005245174,-0.006775984870071028,0.7927125506072874
0.1,9,0.4737904222466231,-0.011448161081521968,0.8251012145748988
0.1,10,0.4225141875322192,-0.015051059079848106,0.8348178137651822
0.1,20,0.38989934577673335,-0.013017735482718784,0.8340080971659919
0.1,30,0.4047192195115902,-0.008410091981499557,0.8251012145748988
0.1,40,0.3739835527231899,-0.010137344979730512,0.8259109311740891
0.1,50,0.3458565203364073,-0.012437265824913724,0.8493927125506073
0.2,-50,0.3199844586916941,-0.014759397116465678,0.8574898785425101
0.2,-40,0.5901696096886396,0.012606524433942334,0.7919028340080971
0.2,-30,0.5749016833444127,0.014570952617097788,0.7894736842105263
0.2,-20,0.5612040189473098,0.0162844627752044,0.7927125506072874
0.2,-10,0.5490774429583268,0.017692145767954914,0.7927125506072874
0.2,-9,0.5238229496635117,0.018914812622378874,0.7951417004048583
0.2,-8,0.5005675000057347,0.019136508451251477,0.8016194331983806
0.2,-7,0.4721398738423617,0.019185347906748973,0.8048582995951417
0.2,-6,0.4462469586375581,0.017399552924766692,0.8089068825910931
0.2,-5,0.421391821432616,0.014103870386928341,0.8105263157894737
0.2,-4,0.39685733129178263,0.009610933754745643,0.8267206477732794
0.2,-3,0.3723830254150644,0.004170329020551089,0.8364372469635628
0.2,-2,0.3481050766308736,-0.0019877807161376992,0.8477732793522267
0.2,-1,0.32444781157151203,-0.008612979626333173,0.8518218623481781
0.2,0,0.6051298720732652,0.002132431913753563,0.7562753036437248
0.2,1,0.5849053636628063,0.002423930832584742,0.8024291497975709
0.2,2,0.5674228085852556,0.0025754440133429757,0.8080971659919028
0.2,3,0.5513687624210859,0.002550360375627836,0.8072874493927126
0.2,4,0.5071357163482781,0.0014380623451842878,0.8307692307692308
0.2,5,0.4683231437049459,-0.0012944703025897786,0.8307692307692308
0.2,6,0.45079526544131066,-0.005553766574818486,0.8331983805668016
0.2,7,0.4346617913875891,-0.008716214254352594,0.8364372469635628
0.2,8,0.4053588253504818,-0.012979131354162954,0.8461538461538461
0.2,9,0.37809930388186047,-0.017589309429502875,0.854251012145749
0.2,10,0.3521542808745313,-0.02233959636649735,0.8550607287449393
0.2,20,0.3273957574484663,-0.0271103615173921,0.8655870445344129
0.2,30,0.30399034594364366,-0.03184071221474871,0.8728744939271255
0.2,40,0.7901225676892035,-0.0014850907666013047,0.3797570850202429
0.2,50,0.7630168791165604,-0.0017857607891844651,0.3797570850202429
0.3,-50,0.740192704915034,-0.0021321652500044808,0.3797570850202429
0.3,-40,0.7194148479287608,-0.002589379339010933,0.3797570850202429
0.3,-30,0.6147853922061765,-0.006073719230729302,0.6647773279352227
0.3,-20,0.518965082355603,-0.010795487717685681,0.7919028340080971
0.3,-10,0.4592975178405121,-0.016387936550194604,0.8404858299595142
0.3,-9,0.411434413789748,-0.019493240722513572,0.8526315789473684
0.3,-8,0.3799621018828223,-0.0173762987771916,0.8526315789473684
0.3,-7,0.3928400605474168,-0.012009152865935568,0.8453441295546559
0.3,-6,0.3628910972767759,-0.014400524301045159,0.848582995951417
0.3,-5,0.33601772879825476,-0.017355256751695858,0.8615384615384616
